,movie_id,gender,name
4090,87729,0.0,James Earl Jones
4106,6280,2.0,Arnold Schwarzenegger
4107,6280,2.0,Danny DeVito
4108,6280,1.0,Emma Thompson
4249,11,2.0,Harrison Ford
4257,11,0.0,James Earl Jones
4425,4476,2.0,Brad Pitt
4426,4476,2.0,Anthony Hopkins
4507,28313,1.0,Halle Berry
4509,28313,2.0,Samuel L. Jackson
4537,3036,2.0,Robert De Niro
4540,3036,1.0,Helena Bonham Carter
4544,3036,0.0,John Cleese
4663,1945,2.0,Liam Neeson
4731,241,2.0,Woody Harrelson
4733,241,2.0,Robert Downey Jr.
4734,241,2.0,Tommy Lee Jones
4810,6950,2.0,Dustin Hoffman
4812,6950,2.0,Morgan Freeman
4813,6950,2.0,Kevin Spacey
4815,6950,2.0,Donald Sutherland
4825,101,1.0,Natalie Portman
4826,101,2.0,Gary Oldman
4879,680,2.0,John Travolta
4880,680,2.0,Samuel L. Jackson
4882,680,2.0,Bruce Willis
4883,680,2.0,Ving Rhames
4884,680,2.0,Harvey Keitel
4890,680,2.0,Christopher Walken
4896,680,2.0,Steve Buscemi
4932,680,2.0,Philip Ettington
5050,12106,2.0,Gene Hackman
5051,12106,2.0,Russell Crowe
5056,12106,2.0,Keith David
5067,161495,1.0,Julianne Moore
5084,3586,2.0,Forest Whitaker
5087,3586,1.0,Julia Roberts
5178,22586,0.0,John Cleese
5195,2636,2.0,Sylvester Stallone
5207,2164,2.0,Kurt Russell
5234,278,2.0,Morgan Freeman
5273,278,2.0,Philip Ettington
5367,9067,1.0,Naomi Watts
5459,193,2.0,Patrick Stewart
5597,1587,2.0,Johnny Depp
5604,1587,2.0,John C. Reilly
5622,9271,2.0,Denzel Washington
5623,9271,2.0,Russell Crowe
5633,2064,1.0,Sandra Bullock
5700,3049,2.0,Jim Carrey
5770,9331,2.0,Harrison Ford
5771,9331,2.0,Willem Dafoe
5785,9331,0.0,James Earl Jones
5788,10731,1.0,Susan Sarandon
5789,10731,2.0,Tommy Lee Jones
5801,10731,2.0,William H. Macy
5846,888,2.0,John Goodman
5851,888,1.0,Halle Berry
5861,13,2.0,Tom Hanks
5979,10879,2.0,Nick Nolte
5982,10879,1.0,Julia Roberts
6051,8587,0.0,James Earl Jones
6068,8587,2.0,Frank Welker
6077,1689,2.0,Keanu Reeves
6131,854,2.0,Jim Carrey
6132,854,1.0,Cameron Diaz
6247,36593,0.0,James Earl Jones
6265,36593,0.0,James Earl Jones
6279,2788,2.0,Ben Stiller
6281,2788,2.0,Steve Zahn
6282,2788,2.0,Ethan Hawke
